id	lemma	pos
1253	brown	a
1254	brown	n
1255	brown	v
1256	brownie	n
1257	browning	n
1258	brownish	a
1259	brownstone	n
1260	browse	n
1261	browse	v
1262	browser	n
1263	browsing	n
1264	bruin	n
1265	bruise	n
1266	bruise	v
1267	bruiser	n
1268	bruising	a
1269	brunch	n
1270	brunch	v
1271	brunet	a
1272	brunet	n
1273	brunette	a
1274	brunette	n
1275	brunt	n
1276	brush	n
1277	brush	v
1278	brushed	a
1279	brushing	n
1280	brushwood	n
1281	brushwork	n
1282	brushy	a
1283	brusque	a
1284	brut	a
1285	brutal	a
1286	brutality	n
1287	brute	a
1288	brute	n
1289	brutish	a
1290	bubble	n
1291	bubble	v
1292	bubbling	a
1293	bubbly	a
1294	bubbly	n
1295	bubonic	a
1296	buccaneer	n
1297	buccaneer	v
1298	buck	n
1299	buck	v
1300	bucket	n
1301	bucket	v
1302	buckeye	n
1303	buckle	n
1304	buckle	v
1305	buckler	n
1306	buckshot	n
1307	buckskin	n
1308	buckthorn	n
1309	buckwheat	n
1310	bucolic	a
1311	bud	n
1312	bud	v
1313	budding	a
1314	budding	n
1315	buddy	n
1316	budge	v
1317	budget	n
1318	budget	v
1319	budgetary	a
1320	budgie	n
1321	buff	a
1322	buff	n
1323	buff	v
1324	buffalo	n
1325	buffalo	v
1326	buffer	n
1327	buffer	v
1328	buffet	n
1329	buffet	v
1330	bug	n
1331	bug	v
1332	bugged	a
1333	buggy	a
1334	buggy	n
1335	bugle	n
1336	bugle	v
1337	bugler	n
1338	build	n
1339	build	v
1340	builder	n
1341	building	n
1342	buildup	n
1343	built	a
1344	bulb	n
1345	bulbous	a
1346	bulge	n
1347	bulge	v
1348	bulging	a
1349	bulimia	n
1350	bulk	n
1351	bulk	v
1352	bulkhead	n
1353	bulky	a
1354	bull	n
1355	bull	v
1356	bulldog	n
1357	bulldog	v
1358	bulldozer	n
1359	bullet	n
1360	bulletin	n
1361	bulletin	v
1362	bulletproof	a
1363	bulletproof	v
1364	bullfight	n
1365	bullfighter	n
1366	bullfighting	n
1367	bullfrog	n
1368	bullhead	n
1369	bullion	n
1370	bullock	n
1371	bullpen	n
1372	bullring	n
1373	bullshit	n
1374	bullshit	v
1375	bully	a
1376	bully	n
1377	bully	v
1378	bullying	a
1379	bullying	n
1380	bulwark	n
1381	bulwark	v
1382	bum	a
1383	bum	n
1384	bum	v
1385	bumble	v
1386	bumblebee	n
1387	bumbling	a
1388	bump	n
1389	bump	v
1390	bumper	n
1391	bumpy	a
1392	bun	n
1393	bunch	n
1394	bunch	v
1395	bundle	n
1396	bundle	v
1397	bundling	n
1398	bung	n
1399	bung	v
1400	bungalow	n
1401	bungee	n
1402	bungle	n
1403	bungle	v
1404	bunk	n
1405	bunk	v
1406	bunker	n
1407	bunker	v
1408	bunny	n
1410	bunsen	n
1411	bunt	n
1412	bunt	v
1413	bunting	n
1414	buoy	n
1415	buoy	v
1416	buoyancy	n
1417	buoyant	a
1418	bur	n
1419	bur	v
1420	burden	n
1421	burden	v
1422	burdened	a
1423	burdensome	a
1424	bureau	n
1425	bureaucracy	n
1426	bureaucrat	n
1427	bureaucratic	a
1428	burg	n
1429	burgeoning	a
1430	burger	n
1432	burgh	n
1433	burgher	n
1434	burglar	n
1435	burglary	n
1436	burgundy	n
1437	burial	n
1438	buried	a
1439	burl	n
1440	burlap	n
1441	burlesque	a
1442	burlesque	n
1443	burlesque	v
1444	burly	a
1445	burn	n
1446	burn	v
1447	burned	a
1448	burner	n
1449	burning	a
1450	burning	n
1451	burnished	a
1452	burnt	a
1453	burqa	n
1454	burr	n
1455	burr	v
1456	burrito	n
1457	burro	n
1458	burrow	n
1459	burrow	v
1460	burry	a
1461	bursar	n
1462	bursary	n
1463	burst	n
1464	burst	v
1465	bury	v
1466	burying	n
1469	busby	n
1470	bush	a
1471	bush	n
1472	bush	v
1473	bushel	n
1474	bushman	n
1475	bushy	a
1477	businessman	n
1480	businessperson	n
1481	businesswoman	n
1482	busk	v
1483	busker	n
1486	bust	a
1487	bust	n
1488	bust	v
1489	bustard	n
1490	busted	a
1491	buster	n
1492	bustle	n
1493	bustle	v
1494	bustling	a
1495	busy	a
1496	busy	v
1497	butane	n
1498	butch	a
1499	butch	n
1500	butcher	n
1501	butcher	v
1502	butchering	n
1503	butchery	n
1504	butler	n
1505	butt	n
1506	butt	v
1507	butte	n
1508	butter	n
1509	butter	v
1510	buttercup	n
1511	butterfly	n
1512	butterfly	v
1513	buttermilk	n
1514	butternut	n
1515	buttery	a
1517	button	n
1518	button	v
1519	buttoned	a
1522	buttressed	a
1523	buy	n
1524	buy	v
1525	buyback	n
1526	buyer	n
1527	buying	n
1528	buyout	n
1529	buzz	n
1530	buzz	v
1531	buzzard	n
1532	buzzer	n
1533	buzzing	a
1534	bycatch	n
1535	bye	n
1536	bygone	a
1537	bygone	n
1538	bylaw	n
1541	byproduct	n
1542	bystander	n
1543	byte	n
1544	byway	n
1545	cab	n
1546	cab	v
1547	cabal	n
1548	cabal	v
